de	en
Die Geschäftsfelder von Liebherr	Liebherr product divisions
Liebherr gestaltet den technologischen Fortschritt in zahlreichen Branchen.	Liebherr shapes technological advances in many areas.
Die elf Sparten der Firmengruppe und das breite Produktprogramm stehen für jahrzehntelange Erfahrung und ausgeprägtes Expertenwissen.	The eleven divisions of the Liebherr Group and the wide product range are the result of decades of experience and in-depth expert knowledge.
Der Austausch zwischen den Geschäftsfeldern fördert innovative Ideen und branchenübergreifende Entwicklungen.	The exchange of know-how and information between the product divisions promotes innovative ideas and cross-industry developments.
Experte und Marktführer in vielen Produktbereichen	Expert and market leader in many product segments
Liebherr zählt nicht nur zu den weltweit größten Baumaschinenherstellern, sondern ist auch in vielen anderen Branchen erfolgreich.	Liebherr is not only one of the world's largest manufacturers of construction machinery, it also enjoys success in many other industries.
Das außergewöhnlich breite Produktprogramm ist das Ergebnis einer stufenweisen Entwicklung.	The extraordinarily large range of products is the result of gradual development. 
Es erstreckt sich auf insgesamt elf Geschäftsfelder, die Liebherr aus eigener Kraft entwickelt hat.	It extends to a total of eleven product segments which Liebherr developed by its own means.
